item_id;"college_id"
4;C3
27;C3
28;C3
75;C2
110;C2
145;C3
146;C3
147;C3
148;C3
149;C3
150;C3
151;C3
152;C3
152;C1
153;C3
154;C3
154;C2
155;C3
156;C3
157;C3
159;C3
159;C2
160;C3
161;C3
162;C3
163;C3
165;C3
166;C3
167;C3
168;C3
169;C3
170;C3
171;C3
172;C3
173;C3
174;C3
175;C3
176;C3
177;C3
178;C3
184;C2
186;C2
188;C2
190;C3
191;C3
192;C2
193;C2
203;C1
203;C2
204;C2
205;C2
206;C2
207;C2
208;C2
209;C2
210;C2
211;C2
215;C3
217;C3
218;C3
220;C3
221;C1
222;C1
223;C1
224;C1
225;C1
226;C1
226;C2
230;C1
230;C2
231;C1
232;C1
233;C1
234;C1
235;C1
236;C1
237;C1
238;C1
309;C2
331;C1
338;C2
339;C1
342;C1
357;C3
359;C2
360;C2
366;C3
